Year,Month,ChargerType,Revenue_P10,Revenue_P50,Revenue_P90,Profit_P10,Profit_P50,Profit_P90
2025,1,AC Slow,5401.238802746221,6947.954497539217,8639.525119419597,-53059.01326160441,-44979.594514965385,-36957.21214579407
2025,1,DC Fast,83407.47712595687,106725.95919829817,132982.21942038392,-89422.31053738267,-54499.02900609998,-19179.213086320975
2025,1,Ultra-Fast DC,154824.94083319695,198834.63170552696,245858.48640972018,-153741.654394813,-90595.4285774265,-24970.4904513267
2025,2,AC Slow,5444.264827983785,6965.551678020976,8681.140404292879,-52900.96675546063,-44685.81906041317,-36545.30137319826
2025,2,DC Fast,83991.5849830244,107477.14856290871,133425.55636835212,-88032.43448406749,-53548.25571433107,-17740.767469384875
2025,2,Ultra-Fast DC,153814.54062008334,199465.0473540619,246593.7921193851,-152708.51482487406,-90544.27429673901,-26182.554265800823
2025,3,AC Slow,5427.569572944062,6985.964365694774,8661.009929912652,-52885.87881222225,-44979.88180050552,-36863.19570705017
2025,3,DC Fast,83670.03695713189,107204.02895885415,133157.06519534488,-87403.54004500402,-54095.07019240902,-18988.1710931369
2025,3,Ultra-Fast DC,155178.77914123764,199224.83645547915,247972.5254298434,-152316.44719925133,-89807.11106366469,-24578.31165209685
2025,4,AC Slow,5425.844467293654,6955.834839889191,8639.746986840932,-52790.75995787281,-44747.580057078805,-36698.451636920916
2025,4,DC Fast,84250.5297116073,107537.72797476657,133417.76477175663,-89080.12591180713,-53784.55262961202,-17178.078976560075
2025,4,Ultra-Fast DC,154995.00639390253,198096.05024356686,246751.5225695843,-155392.52500276835,-92148.8223796519,-26123.42623675773
2025,5,AC Slow,5388.629322864616,6947.628632267357,8700.481361832031,-52928.1151265324,-44876.403008361216,-36523.53880084623
2025,5,DC Fast,83414.77519099363,107294.15957870602,132957.3362186448,-88672.44857437661,-54216.86313725883,-18263.853950971872
2025,5,Ultra-Fast DC,154671.01627267324,198302.32406711957,245692.88983323632,-155421.68251460732,-90958.45391739334,-27090.111673194413
2025,6,AC Slow,5430.3993755390975,6906.983232621333,8587.106102184754,-52782.140595922916,-44504.29135349236,-36662.041742892514
2025,6,DC Fast,83926.65134884196,107431.01634000364,134117.43932621295,-87765.60233136313,-53312.61032226768,-18361.154426948648
2025,6,Ultra-Fast DC,152620.802915223,197035.89197731504,246278.91680638416,-154558.2374113814,-90585.28803989463,-25397.13767139572
2025,7,AC Slow,5426.10891459999,6939.621760711683,8619.843420613981,-52788.10921831739,-44705.00863259904,-36562.51286131231
2025,7,DC Fast,83373.53379663131,107379.71294540586,133597.80807132905,-87125.38205154928,-53761.06341530688,-17785.91454416403
2025,7,Ultra-Fast DC,153935.40303472415,199158.98600884248,247739.24205461165,-154675.23388071125,-90640.82994061793,-24290.80289663051
2025,8,AC Slow,5431.615300586777,6934.630023700904,8625.27781375565,-53062.12965968641,-44940.03451767673,-36783.3868617534
2025,8,DC Fast,83417.03779884105,107316.10098161458,132514.45094533905,-88833.56204456955,-54275.72386333132,-18864.122407953564
2025,8,Ultra-Fast DC,154762.55647662433,198485.3761525909,246955.31050555006,-152910.09813905708,-89653.80435781452,-26132.883096457546
2025,9,AC Slow,5399.041350924309,6956.499201299441,8624.697320628828,-53089.15925041231,-45034.58762829001,-36877.52108420976
2025,9,DC Fast,83072.66969155248,107398.28614854207,133775.58114708212,-89260.47406332141,-54176.10088372264,-16880.817600563834
2025,9,Ultra-Fast DC,154286.2450956332,197652.41970771953,245814.96408484693,-154490.6620511254,-93080.75461726451,-27421.830135758286
2025,10,AC Slow,5431.937725676107,6969.249251178291,8654.672555039006,-52799.97104615896,-44838.98627054794,-36660.780467865516
2025,10,DC Fast,83632.7651994632,107630.6015707836,134174.91129291969,-88153.35461647695,-53219.930775579,-17950.16140134929
2025,10,Ultra-Fast DC,154374.93867830996,197586.3229820925,246400.7456815122,-153601.89193795712,-90262.56551617362,-24294.092462905774
2025,11,AC Slow,5402.899139555815,6971.132501807677,8661.286560433171,-52696.60006319418,-44668.22009000962,-36477.866292246275
2025,11,DC Fast,83187.404177338,107255.87619433863,133494.5161929693,-87953.46407217637,-53222.57187703709,-16757.492310528414
2025,11,Ultra-Fast DC,154631.9506690971,199231.16460116464,246306.3478264439,-152840.2309933647,-90429.59662666255,-24633.205988555852
2025,12,AC Slow,5448.500163422699,6936.066868941831,8685.59389529944,-52866.132736522544,-44682.744448151745,-36658.952300465964
2025,12,DC Fast,83319.73838680846,106668.21067484966,133871.73802712664,-87851.07816384241,-54068.25130707266,-18094.907462211075
2025,12,Ultra-Fast DC,154818.31922699962,198081.1302578876,246627.44257587107,-153506.13433908648,-91106.93683975365,-25296.756881717996
2026,1,AC Slow,5413.208346977199,6931.709552762398,8718.226850139647,-52958.93065809288,-44917.46994388338,-36784.600439976646
2026,1,DC Fast,83886.38199237389,107645.95824589048,133463.81162031755,-86618.7206243078,-53852.729828732685,-17957.412156004437
2026,1,Ultra-Fast DC,153891.85815384632,198382.83760629222,247263.62491121338,-153887.23280635444,-91160.99144945253,-26058.966182072163
2026,2,AC Slow,5431.881656207172,6924.5272239678925,8644.741399537785,-52682.8184806852,-44743.50028328764,-36521.81581460947
2026,2,DC Fast,82559.40628575483,106508.16285240499,133533.3339906873,-89200.58196326678,-54233.548836616865,-17421.40628670052
2026,2,Ultra-Fast DC,154436.80898010472,199700.08766216098,247547.59865784514,-151677.44820110666,-89042.24036622165,-24258.80356609794
2026,3,AC Slow,5394.769215406093,6988.538644707357,8711.96646883002,-53059.732494474934,-44787.198160054235,-36808.911407827894
2026,3,DC Fast,83713.94228440458,107079.93530430266,133058.58320751952,-88140.68616931538,-54106.15700290124,-18544.781378921623
2026,3,Ultra-Fast DC,153977.56168168108,197812.09090566612,246577.4944503151,-154112.92331112485,-91661.25800488143,-24798.58377104992
2026,4,AC Slow,5441.847478853399,6961.120772918966,8659.554293309002,-52983.1465015281,-44699.420734211686,-36700.305917106176
2026,4,DC Fast,83069.01477596158,106579.5098250913,134023.4849769148,-89780.47194653918,-54553.15306802523,-18079.057254458545
2026,4,Ultra-Fast DC,154677.40121949944,198952.91486852226,248260.84400491897,-152485.072813236,-90035.8268091374,-23479.192899655107
2026,5,AC Slow,5436.67342136201,6964.402772580512,8738.459440715184,-52648.46649139062,-44843.77764620958,-36476.99563790889
2026,5,DC Fast,84409.05699314701,107806.70204247162,133682.66900983875,-87820.25440344845,-53165.85460434295,-17661.162528406323
2026,5,Ultra-Fast DC,153230.8324314188,198476.02648521232,248227.9815889111,-154071.03305186308,-91185.92965885035,-24322.532287802533
2026,6,AC Slow,5484.222125934485,6958.96069443987,8661.575559033126,-53057.638356549585,-44844.493178735385,-36660.559765192724
2026,6,DC Fast,83699.39780508338,107031.40057331717,132451.27826047936,-88466.82351548919,-54384.588260631666,-18219.384286503817
2026,6,Ultra-Fast DC,155779.48841531266,198646.77702832283,248952.53440843293,-153025.15912053222,-89264.05943766025,-26144.75202309106
2026,7,AC Slow,5395.499023619008,6958.030718711226,8674.90215503587,-52906.675335683576,-44709.853042736904,-36683.709305374396
2026,7,DC Fast,83593.08318954625,107954.23562646954,133332.232547373,-88657.72953413811,-52941.879115669515,-18550.05884764711
2026,7,Ultra-Fast DC,154579.1521837354,199415.75013815943,247395.31554746773,-154169.26958244242,-90436.34218812914,-25141.892538684995
2026,8,AC Slow,5427.021436498767,6963.508315206545,8639.772877536836,-52886.463355552514,-44882.573755339254,-36552.334128896575
2026,8,DC Fast,83854.66796573253,107008.6972045524,133566.588932032,-87546.16818560538,-53673.87383940667,-17080.138872595806
2026,8,Ultra-Fast DC,154043.8160451,198299.45562831033,246509.23845978384,-154675.04967592875,-90880.05434409133,-25683.95532338939
2026,9,AC Slow,5411.005851367537,6959.705000161699,8657.283190986946,-52871.97756206302,-44985.985521151044,-36786.64703914012
2026,9,DC Fast,82796.60438933701,107217.11921722822,134165.61454952604,-88270.11801744036,-53845.507064157195,-17704.80048419554
2026,9,Ultra-Fast DC,154990.77308422432,199266.05645750195,247665.6756596478,-152151.3564030269,-89705.88796496252,-24365.03673857805
2026,10,AC Slow,5444.057127435137,6951.666788755178,8709.635426269178,-52970.01365815194,-44899.25103287636,-36615.81598014245
2026,10,DC Fast,83974.76759816674,107416.69571077045,133389.26330397077,-87561.02115323175,-53549.78465011307,-18326.610085054388
2026,10,Ultra-Fast DC,153780.18811796806,199129.01753326552,247227.34582882904,-152941.26561254848,-90876.27649118466,-25697.1123775151
2026,11,AC Slow,5428.377431988416,6950.805862960353,8623.321155504822,-52527.24931162281,-44628.611489388946,-36505.54508335175
2026,11,DC Fast,83919.30832646713,107520.02657305417,134322.31218811986,-88178.81554039833,-53206.82016514083,-16957.381942874264
2026,11,Ultra-Fast DC,154804.9013199053,198528.7133053309,247468.3662982142,-151654.55164856827,-91980.53566879708,-27216.972460091387
2026,12,AC Slow,5363.443429567416,6978.663720401298,8623.685118062978,-52941.64922481151,-44971.03041269886,-36468.780919237804
2026,12,DC Fast,83785.88635968884,107071.73518468687,132768.59336523328,-89080.16643787312,-54196.72323262573,-18475.622385649647
2026,12,Ultra-Fast DC,153875.57605403182,199246.06957444118,248064.65659132795,-155035.7618589058,-89807.60009722362,-23946.083914501396
